accver	taxid	isolate	host	genotype	country	isolation_source	collection_date	strain	serotype	group	old_name	type	collected_by	gb_acronym	note	lab_host	subtype1	acronym	note.1	NA.	clone	map	cell_line	lat_lon	segment	identified_by	culture_collection	serogroup	subgroup	tissue_lib	tissue_type	acronym.1	variety
KC999882.1	714978	NA	Homo sapiens	NA	China	throat swab	2011-12-11	HAdV-B55 SHX-P01	NA	NA	NA	NA	Shaofu Qiu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX423384.1	108098	NA	Homo sapiens	B2	Argentina	NA	2004-12-31	human/ARG/ak36_AdV11a/2005/55[P14H11F14]	11a	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX123029.1	714978	CQ-2903	Homo sapiens	B55	China	nasopharyngeal aspirates	2012-01-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX123028.1	714978	CQ-1657	Homo sapiens	B55	China	nasopharyngeal aspirates	2011-04-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX123027.1	714978	CQ-814	Homo sapiens	B55	China	nasopharyngeal aspirates	2010-08-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ643676.1	714978	NA	Homo sapiens	NA	China: Shanxi, Qishan	NA	2006-03-31	QS-DLL	NA	NA	NA	NA	NA	NA	Human adenovirus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ874353.2	714978	patient HAdV11-QS	NA	NA	China	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM458628.1	714978	NA	NA	NA	China	Hep-2 cell	2012-12-31	BJ10	HAdV-55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC551973.1	714978	AH-CHN/CZ-TC8/2012	Homo sapiens	B55	China	throat swab	2012-05-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX491639.1	714978	HAdV-B/CHN/BJ01/2011/55[P14H11F14]	Homo sapiens	NA	China	NA	2011-03-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX128105.1	1222019	LZY153B	Homo sapiens	NA	China	respiratory sample	2009-01-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ841905.1	343463	Taiwan/760/2002	Homo sapiens	NA	Taiwan	NA	2001-12-31	NA	NA	NA	Human adenovirus type 11a	11a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ841899.1	343463	South Dakota/6380/1997	Homo sapiens	NA	USA	NA	1996-12-31	NA	NA	NA	Human adenovirus type 11a	11a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ597732.1	343463	NA	Homo sapiens	NA	Singapore	NA	2005-05-25	SGN1222	NA	NA	Human Adenovirus type 11a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY002685.1	1907210	Yunnan/KM04/2016	Homo sapiens	HADV55	China	throat swab	2016-06-07	NA	NA	NA	NA	NA	NA	NA	NA	Hep-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX423385.1	108098	NA	Homo sapiens	B2	Egypt	NA	2001-04-30	human/EGY/ak37_AdV11a/2001/55[P14H11F14]	11a	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KP896484.1	714978	NA	Homo sapiens	B55	China	nasopharyngeal aspirates	2013-01-14	Tianjin/TJ01/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ841900.1	343463	Spain/273/1969	Homo sapiens	NA	Spain	NA	1968-12-31	NA	NA	NA	Human adenovirus type 11a	11a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268121.1	108098	NA	Homo sapiens	B	USA: Wisconsin	NA	2005-07-31	human/USA/UFL_Adv11/2005/11[P11H11F11]	11	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EF011630.1	108098	NA	NA	NA	USA	NA	NA	ColoAd1	B	NA	Human adenovirus B	NA	NA	HAdV-B	derived by pooling different Ad subgroups (B-F) in target cells and allowing them to recombine; selected for high potency and tumor selectivity; product of a random recombination between Ad11p and Ad3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330092.1	10541	NA	NA	NA	NA	NA	NA	Slobitski	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY598970.1	108098	NA	NA	NA	NA	NA	NA	11p	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AF532578.1	10541	NA	NA	NA	NA	NA	NA	Slobitski	NA	NA	Human adenovirus type 11	NA	NA	NA	B:2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY163756.1	10541	NA	NA	NA	NA	NA	NA	Ad11p Slobitski	NA	NA	Human adenovirus type 11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX034750.1	565303	NA	NA	NA	Argentina	respiratory specimen	NA	Argentina/18017/2000	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KT970440.1	108098	NA	Homo sapiens	NA	Argentina	respiratory specimen	2000-08-31	HAdV-B/ARG/18017/2000/[P11H11F7]	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KT970442.1	108098	NA	Homo sapiens	NA	USA: New York	urine	2012-04-14	HAdV-B/USA/12146/2012/[P11H11F7]	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KT970441.1	108098	NA	Homo sapiens	NA	USA: Pennsylvania	urine	2013-09-30	HAdV-B/USA/CHOP2146-10810/2013/[P11H11F7]	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX120173.1	108098	CQ-1747	Homo sapiens	55	China	nasopharyngeal aspirates	2011-05-16	NA	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX120172.1	108098	CQ-1741	Homo sapiens	55	China	nasopharyngeal aspirates	2011-05-08	NA	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX120177.1	108098	CQ-1674	Homo sapiens	55	China	nasopharyngeal aspirates	2011-04-30	NA	NA	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB052912.2	10522	NA	NA	NA	Japan	NA	NA	99SRL30744	35	NA	Human adenovirus type 35	NA	NA	NA	isolated in japan 1999~synonym:human adenovirus 35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KF268124.1	108098	NA	Homo sapiens	B	USA: Iowa	NA	2004-11-30	human/USA/UFL_Adv35/2004/35[P35H35F35]	35	NA	Human adenovirus B	NA	NA	HAdV-B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330116.1	10522	NA	NA	NA	NA	NA	NA	Holden	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY271307.1	10522	NA	NA	NA	NA	NA	NA	35p	NA	NA	Human adenovirus type 35	NA	NA	NA	Human adenovirus B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY128640.2	10522	NA	NA	NA	NA	NA	NA	ATCC VR-718; Holden	NA	NA	Human adenovirus type 35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FJ841902.1	10521	The Netherlands/16845/1974	Homo sapiens	NA	Netherlands	NA	1973-12-31	NA	NA	NA	Human adenovirus type 14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AY803294.1	10521	NA	NA	NA	NA	NA	NA	de Wit; ATCC VR-1091	14	NA	Human adenovirus type 14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DQ149612.1	10521	NA	NA	NA	NA	NA	NA	NA	14	NA	Human adenovirus type 14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB330095.1	10521	NA	NA	NA	NA	NA	NA	de Wit	NA	NA	NA	NA	NA	NA	synonym: Human adenovirus type 14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MF062484.1	10521	HAdV-B/CHN/GZ02-6161/2010/14[P14H14F14]	Homo sapiens	B14	China	NA	2010-09-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KC825052.1	10521	CHN2008	Homo sapiens	14	China	throat swab	2007-12-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JX892927.2	10521	CHN 2012	Homo sapiens	14	China	throat swab	2012-01-31	NA	NA	NA	NA	NA	Liu wei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JQ824845.1	10521	HAdV-B/CHN/GZ01/2010/14[P14H14F14]	Homo sapiens	B14	China	NA	2010-10-06	NA	NA	NA	Human adenovirus type 14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JN032132.1	10521	NA	Homo sapiens	NA	China	nasopharyngeal wash sample	2011-10-21	HAdV14-BJ430/CHN2010	NA	NA	NA	NA	Liuying Tang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
