accver	taxid	country	collection_date
KM659145.1	108098	Democratic Republic of the Congo	NA
FJ025916.1	585063	NA	NA
KC570909.1	10541	Taiwan	2002-02-04
FJ025911.1	585066	NA	NA
AY972815.1	322681	Germany	NA
KT069560.1	108098	Rwanda	NA
KT069557.1	108098	Democratic Republic of the Congo	NA
KM659154.1	108098	Democratic Republic of the Congo	NA
KM659147.1	108098	Democratic Republic of the Congo	NA
KM659136.1	108098	Democratic Republic of the Congo	NA
KM659142.1	108098	Democratic Republic of the Congo	NA
AB018424.1	10541	NA	NA
KM659141.1	108098	Democratic Republic of the Congo	NA
FJ025929.1	585081	NA	NA
FJ025908.1	585067	NA	NA
KM659155.1	108098	Democratic Republic of the Congo	NA
KT069559.1	108098	Uganda	NA
KM659170.1	108098	Uganda	NA
KM659164.1	108098	Uganda	NA
KM659133.1	108098	Democratic Republic of the Congo	NA
JN163988.1	1076302	NA	NA
KM659148.1	108098	Democratic Republic of the Congo	NA
KM659146.1	108098	Democratic Republic of the Congo	NA
KM659135.1	108098	Democratic Republic of the Congo	NA
KM659152.1	108098	Democratic Republic of the Congo	NA
KM659163.1	108098	Democratic Republic of the Congo	NA
KM659151.1	108098	Democratic Republic of the Congo	NA
AB162772.1	10541	NA	NA
KM659150.1	108098	Democratic Republic of the Congo	NA
KM659156.1	108098	Gabon	NA
KM659138.1	108098	Democratic Republic of the Congo	NA
KM659167.1	108098	Uganda	NA
AB330097.1	31544	NA	NA
AY601636.1	31544	NA	NA
X74662.1	31544	NA	NA
JN163989.1	1076303	NA	NA
EU513203.1	108098	China	NA
JN860680.1	31544	Egypt	NA
AB018427.1	10522	NA	NA
JN163986.1	1076306	NA	NA
KM659157.1	108098	Gabon	NA
JN860678.1	1096763	Argentina	2003-12-31
MH910667.1	10519	USA: New York	1998-12-31
KX570681.1	10519	Taiwan	2002-10-10
KX570679.1	10519	Taiwan	2004-10-12
KX570658.1	10519	Taiwan	2002-08-08
KF268125.1	108098	USA: Pittsburgh, Pennsylvania	1987-12-31
JX423388.1	108098	USA: Illinios	1997-07-31
AY601634.1	10519	USA: Illinois, NTC Great Lakes	NA
AY594256.1	10519	NA	NA
MH910666.1	10519	USA: Georgia	1995-12-31
MH910669.1	10519	USA	NA
KF268126.1	108098	USA: Iowa	2005-01-31
JN860679.1	260047	Japan	1957-12-31
JN860676.1	1337398	Argentina	1986-12-31
AY495969.1	10519	China	NA
AF515814.1	10519	NA	NA
MH910665.1	10519	USA: Texas	1997-12-31
MH910662.1	10519	USA: Maryland	1954-12-31
KF268134.1	108098	USA: Pittsburgh, Pennsylvania	1987-12-31
JX423386.1	108098	Argentina	2002-12-31
AF065066.2	85755	NA	NA
FJ025928.1	585084	NA	NA
AF065067.2	85755	NA	NA
AF065068.2	85755	NA	NA
AF053085.1	10519	NA	NA
FJ025909.1	585083	NA	NA
KM458623.1	45659	China	2010-12-31
EF486500.1	45659	Taiwan	NA
KF268315.1	108098	Germany	1988-04-12
KY320276.1	108098	South Korea	NA
KX384958.1	45659	USA: Fort Jackson, SC	2002-12-08
AB900154.1	108098	Japan:Fukui	2003-12-31
AB900151.1	108098	Japan:Fukui	2002-12-31
KF268311.1	108098	China: Guangzhou	2006-12-31
KF268133.1	108098	USA: Connecticut	2007-01-31
KF268123.1	108098	USA: Connecticut	2006-12-31
KF268120.1	108098	USA: Connecticut	2007-01-31
JX423382.1	108098	USA: Philadelphia	2007-12-31
JX423381.1	108098	USA: Philadelphia	2002-12-31
JX423380.1	108098	USA: San Diego	2004-06-30
EF494645.1	45659	Taiwan	NA
EF494642.1	45659	Taiwan	NA
EF570054.1	45659	Taiwan	NA
DQ099432.4	108098	NA	2004-12-31
AY854176.1	45659	South Korea	NA
KF268212.1	108098	India: Tamil Nadu	2011-04-05
KF268210.1	108098	India: Tamil Nadu	2011-03-31
EF494646.1	45659	Taiwan	NA
EF494644.1	45659	Taiwan	NA
AY854173.1	45659	South Korea	NA
KF268132.1	108098	USA: Pittsburgh, Pennsylvania	1987-12-31
KF268131.1	108098	USA: Connecticut	2007-01-31
