accver	taxid	country	collection_date
KF268335.1	130310	Germany	1985-09-02
KF268211.1	130310	Germany	1987-04-09
JN226765.1	245072	Netherlands	1988-12-31
AB330132.1	245072	NA	NA
AB330103.1	46924	NA	NA
KF268201.1	130310	Germany	1982-05-10
DQ149627.1	46931	NA	NA
KX868297.2	2461378	Sweden	1977-12-31
MF416150.1	130310	Panama	2010-12-31
DQ149615.1	28275	NA	NA
JN226761.1	46937	France	1981-12-31
AB330123.1	46937	NA	NA
DQ149635.1	46937	NA	NA
JF799911.1	130310	USA	2007-11-17
EU755357.1	10541	Kuwait	2007-04-30
MF198460.1	2064742	USA	2010-09-30
KP329562.1	38430	NA	1957-12-31
KF053123.1	1458443	China	2002-06-09
AB248447.1	10541	Japan	NA
AB248455.1	10541	Japan	NA
KP329565.1	38416	NA	1962-12-31
KC632707.1	45659	Thailand	2012-03-21
KC632706.1	45659	Thailand	2012-03-13
JQ407708.1	108098	France	2008-09-14
KR914483.1	714978	Iraq	2013-09-14
KR527455.1	45659	Tunisia	2012-12-31
KR914485.1	714978	Iraq	2013-09-14
KR527464.1	45659	Tunisia	2012-12-31
AJ272607.1	10521	NA	NA
KF976525.1	130310	Cote d'Ivoire	2011-12-31
KY704437.1	45659	Thailand	2015-12-31
KR914484.1	714978	Iraq	2013-09-14
KY704439.1	45659	Thailand	2015-12-31
KC632676.1	45659	Thailand	2011-01-21
KY704410.1	10519	Thailand	2015-12-31
KC632722.1	45659	Thailand	2012-07-30
KC632702.1	45659	Thailand	2011-08-30
DQ923122.2	332179	USA	NA
AJ272606.1	10541	NA	NA
KC632730.1	45659	Thailand	2010-11-03
KY704441.1	45659	Thailand	2015-12-31
KC632678.1	45659	Thailand	2011-02-25
KC632717.1	45659	Thailand	2011-08-18
KC632675.1	10519	Thailand	2011-01-18
KC632674.1	45659	Thailand	2011-01-09
KC632670.1	45659	Thailand	2010-09-17
KC632668.1	45659	Thailand	2010-09-02
MK955319.1	130309	South Africa	NA
MK955318.1	130309	South Africa	NA
MK955317.1	130309	South Africa	NA
MK955316.1	130309	South Africa	NA
MK955315.1	130309	South Africa	NA
KC632623.1	45659	Thailand	2009-03-18
KY704449.1	45659	Thailand	2015-12-31
KY704444.1	45659	Thailand	2015-12-31
KC632709.1	45659	Thailand	2012-04-10
AJ272611.1	10522	NA	NA
AJ272610.1	10548	NA	NA
KC632669.1	45659	Thailand	2010-09-02
AB330087.1	10534	NA	NA
KM377994.1	315431	China	2014-07-09
KM377991.1	315431	China	2014-07-09
KF976527.1	130310	Cote d'Ivoire	2011-12-31
AB330121.1	28284	NA	NA
L19443.1	130309	NA	NA
KY704451.1	45659	Thailand	2015-12-31
KM378037.1	315431	China	2014-07-09
AB601014.1	45659	Japan: Fukuoka, Tatara River	2010-08-31
MK241690.1	1907210	China: Datong	2017-05-21
LC068720.1	10534	Japan	2005-04-07
LC068719.1	10534	Japan	2005-03-31
LC068718.1	10534	Japan	2004-08-18
LC068717.1	10534	Japan	2004-04-11
LC068716.1	10534	Japan	2003-12-02
LC068715.1	10534	Japan	1994-05-20
LC068714.1	10534	Japan	1993-03-04
LC068712.1	10534	Japan	1987-12-25
KF951595.1	129951	China	2013-02-22
JX423389.1	129951	USA: Philadelphia	2007-07-31
KM378030.1	315431	China	2014-07-09
KM378023.1	315431	China	2014-07-09
KM378022.1	315431	China	2014-07-09
KM378002.1	315431	China	2014-07-09
KC632700.1	45659	Thailand	2011-07-24
MH183293.1	10533	China	2016-02-03
MH121081.1	129951	Germany	NA
JX173082.1	129951	USA	2003-02-02
JX173080.1	129951	Egypt	2001-01-31
MH121116.1	129951	Germany	NA
MH121087.1	129951	Germany	NA
MH121082.1	129951	Germany	NA
LC068713.1	10534	Japan	1987-12-25
JX173085.1	129951	USA	2003-03-02
JX173083.1	129951	USA	2003-02-27
AY512566.1	114408	Hungary	NA
KR025757.1	1712394	China	2013-06-30
MN513345.1	10533	Singapore	2016-09-18
MN513341.1	10533	Singapore	2016-09-15
MK357714.1	1907210	China	2017-05-30
MH121117.1	129951	Germany	NA
MH121110.1	129951	Germany	NA
MH121100.1	129951	Germany	NA
MH121089.1	129951	Germany	NA
KF954054.1	10519	China	2013-03-24
KF954050.1	45659	China	2011-06-20
KJ620246.1	10541	Turkey	2005-12-31
JX173078.1	129951	Argentina	1999-12-31
AF534906.1	10533	NA	NA
MH121113.1	129951	Germany	NA
MH121112.1	129951	Germany	NA
KX494932.1	714978	South Korea	2016-02-22
KJ807383.1	714978	China	2013-03-02
KJ620264.1	10541	Turkey	2006-12-31
KC632683.1	45659	Thailand	2011-09-13
KC632627.1	45659	Thailand	2009-04-02
JX173086.1	129951	USA	2004-01-01
HQ413315.1	10534	USA: Washington, DC	1952-12-31
DQ149613.1	10534	NA	NA
KR025784.1	1712394	China	2013-12-31
KR025761.1	1712394	China	2013-07-31
KR025750.1	1712394	China	2013-06-30
KF053125.1	1458443	China	2002-06-09
MH558113.1	129951	China	2017-04-09
MH121076.1	129951	Germany	NA
MH121075.1	129951	Germany	NA
MH121074.1	129951	Germany	NA
KU162869.1	28284	Finland	1978-12-31
AB330082.1	10533	NA	NA
X51782.1	28284	NA	NA
MH121098.1	129951	Germany	NA
KX494938.1	714978	South Korea	2016-03-07
KR025753.1	1712394	China	2013-06-30
KJ807390.1	714978	China	2009-08-03
MF198448.1	2064730	USA	2010-09-30
KR025751.1	1712394	China	2013-06-30
KC510721.1	10521	China	2010-12-31
MH121108.1	129951	Germany	NA
MF198457.1	2064739	USA	2010-09-30
MF198450.1	2064732	USA	2010-09-30
KR025787.1	1712394	China	2013-12-31
KC632600.1	45659	Thailand	2011-11-22
MH121073.1	129951	Germany	NA
KC632721.1	10519	Thailand	2012-02-15
KC632703.1	45659	Thailand	2011-11-28
KR914486.1	10541	Iraq	2013-09-14
KR025780.1	1712394	China	2013-12-31
KR025759.1	1712394	China	2013-07-31
KR025754.1	1712394	China	2013-06-30
KC632679.1	45659	Thailand	2011-03-29
MF198455.1	2064737	USA	2010-09-30
KR025804.1	1712394	China	2014-02-28
KM877546.1	315431	China	2008-04-11
KM877528.1	315431	China	2007-10-08
KC632682.1	10519	Thailand	2011-08-01
KC632625.1	45659	Thailand	2009-02-16
KR025795.1	1712394	China	2014-01-31
KC632598.1	45659	Thailand	2011-11-07
KC632631.1	45659	Thailand	2009-03-22
MF198453.1	2064735	USA	2010-09-30
KY969113.1	10519	Thailand	2016-11-30
KY969112.1	10519	Thailand	2016-09-30
KY969097.1	45659	Thailand	2016-11-30
KY969096.1	45659	Thailand	2016-04-30
KR025785.1	1712394	China	2013-12-31
KR025782.1	1712394	China	2013-12-31
KY969117.1	10519	Thailand	2016-11-30
KY969114.1	10519	Thailand	2016-11-30
KY969104.1	45659	Thailand	2016-10-31
KY969099.1	45659	Thailand	2016-11-30
KC632643.1	45659	Thailand	2010-07-02
KC632629.1	45659	Thailand	2009-03-01
MF198459.1	2064741	USA	2010-09-30
MF198456.1	2064738	USA	2010-09-30
FJ025903.1	585097	NA	NA
KY969105.1	45659	Thailand	2016-10-31
KY969103.1	45659	Thailand	2016-10-31
MF198449.1	2064731	USA	2010-09-30
KX452138.1	10519	Cameroon	2011-11-09
KX452120.1	45659	Cameroon	2011-11-13
KC632661.1	45659	Thailand	2009-06-13
KC632599.1	45659	Thailand	2011-11-14
FJ025902.1	585098	NA	NA
FJ025899.1	585078	NA	NA
KC632715.1	45659	Thailand	2009-08-03
KC632694.1	45659	Thailand	2011-03-01
MF198461.1	2064743	USA	2010-09-30
KX452141.1	10519	Cameroon	2012-03-13
KX452121.1	45659	Cameroon	2012-03-28
LC129035.1	45659	Japan:Hokkaido, Sapporo	2015-08-05
KY969107.1	45659	Thailand	2016-10-31
KC632658.1	45659	Thailand	2009-06-27
AY771780.1	310540	NA	NA
KY969102.1	45659	Thailand	2016-02-29
MF198458.1	2064740	USA	2010-09-30
KM591901.1	1574627	USA	2010-09-30
KX452131.1	45659	Cameroon	2013-12-19
KY969115.1	10519	Thailand	2016-09-30
KX494973.1	714978	South Korea	2016-05-19
KC632591.1	10519	Thailand	2011-03-31
KX494970.1	714978	South Korea	2016-05-09
KC632681.1	45659	Thailand	2009-06-16
KY969106.1	45659	Thailand	2016-10-31
MF198451.1	2064733	USA	2010-09-30
KX083799.1	45659	China	2015-08-31
KX083798.1	45659	China	2015-08-31
KX083797.1	45659	China	2015-08-31
KX083796.1	45659	China	2015-08-31
KX083795.1	45659	China	2015-08-31
KX083794.1	45659	China	2015-08-31
KX083790.1	45659	China	2015-07-31
KX083789.1	45659	China	2015-07-31
KX083788.1	45659	China	2015-07-31
KX083784.1	45659	China	2015-07-31
KX083783.1	45659	China	2015-07-31
KX083782.1	45659	China	2015-07-31
KX083779.1	45659	China	2015-07-31
KX083778.1	45659	China	2015-06-30
KX083777.1	45659	China	2015-06-30
KX083776.1	45659	China	2015-06-30
KX083775.1	45659	China	2015-06-30
KX083774.1	45659	China	2015-06-30
KX083773.1	45659	China	2015-06-30
KX083772.1	45659	China	2015-06-30
KX083770.1	45659	China	2015-06-30
KX083769.1	45659	China	2015-06-30
KX083768.1	45659	China	2015-06-30
KX083767.1	45659	China	2014-09-30
KX083766.1	45659	China	2014-08-31
KX083765.1	45659	China	2014-08-31
KX083764.1	45659	China	2014-07-31
KX083763.1	45659	China	2014-07-31
KX083762.1	45659	China	2014-07-31
KX083761.1	45659	China	2014-06-30
KX083760.1	45659	China	2014-06-30
KX083759.1	45659	China	2014-07-31
KX083758.1	45659	China	2014-06-30
KX083757.1	45659	China	2014-06-30
KX083756.1	45659	China	2014-06-30
KX083755.1	45659	China	2014-06-30
KX083754.1	45659	China	2014-06-30
KX083753.1	45659	China	2014-06-30
KX083752.1	45659	China	2014-06-30
KX083751.1	45659	China	2014-06-30
KX083750.1	45659	China	2014-06-30
KX083749.1	45659	China	2014-06-30
KX083747.1	45659	China	2014-06-30
KX083746.1	45659	China	2014-06-30
KX083744.1	45659	China	2014-06-30
KX083743.1	45659	China	2014-06-30
KX083741.1	45659	China	2014-06-30
KX083740.1	45659	China	2014-06-30
KX083739.1	45659	China	2014-06-30
KF053126.1	1458443	China	2002-06-09
KX494978.1	714978	South Korea	2016-05-02
KX494966.1	714978	South Korea	2016-05-02
KX083793.1	45659	China	2015-08-31
KX083787.1	45659	China	2015-07-31
KX083786.1	45659	China	2015-07-31
KX083780.1	45659	China	2015-07-31
KX083771.1	45659	China	2015-06-30
KX083748.1	45659	China	2014-06-30
KX083745.1	45659	China	2014-06-30
KX083742.1	45659	China	2014-06-30
KF976533.1	130310	Uganda	2009-12-31
KF976524.1	130310	Democratic Republic of the Congo	2010-12-31
JN176457.1	10541	United Kingdom	2002-12-31
KX083800.1	10519	China	2014-06-30
KX083781.1	45659	China	2015-07-31
KF976523.1	130310	Democratic Republic of the Congo	2010-12-31
KY704450.1	45659	Thailand	2015-12-31
KF976522.1	130310	Democratic Republic of the Congo	2010-12-31
MG969551.1	38418	NA	1954-12-31
KX083806.1	10519	China	2015-09-30
KX083805.1	10519	China	2015-07-31
KX083804.1	10519	China	2014-08-31
KX083803.1	10519	China	2014-08-31
KX083802.1	10519	China	2014-06-30
KX083801.1	10519	China	2014-06-30
KF835447.1	879186	China	2005-12-31
LC129029.1	45659	Japan:Hokkaido, Sapporo	2014-07-19
KM591902.1	1574628	USA	2010-09-30
KF976532.1	130310	Uganda	2009-12-31
KY704442.1	45659	Thailand	2015-12-31
KY969098.1	45659	Thailand	2016-10-31
KY704443.1	45659	Thailand	2015-12-31
KX083791.1	45659	China	2015-07-31
KF976528.1	130310	Cote d'Ivoire	2011-12-31
KY969109.1	45659	Thailand	2016-10-31
KX494930.1	714978	South Korea	2016-02-22
KF976521.1	130310	Democratic Republic of the Congo	2010-12-31
HQ003817.1	129951	Russia	1997-10-31
KX494976.1	714978	South Korea	2016-05-23
KF976534.1	130310	Uganda	2009-12-31
KR025792.1	1712394	China	2014-01-31
KF279625.1	10541	United Kingdom	1986-12-31
KY704445.1	45659	Thailand	2015-12-31
KY969100.1	45659	Thailand	2016-11-30
KX083785.1	45659	China	2015-07-31
KR025788.1	1712394	China	2014-01-31
KX494975.1	714978	South Korea	2016-05-19
KX494977.1	714978	South Korea	2016-06-02
KF976529.1	130310	Cote d'Ivoire	2011-12-31
JF964962.1	1069441	Japan	2003-12-31
KC693023.1	1962300	USA	1997-02-28
AJ293903.1	10515	Germany	NA
LC504573.1	129951	Japan	2015-12-31
MH121114.1	129951	Germany	NA
MH121097.1	129951	Germany	NA
KX494968.1	714978	South Korea	2016-05-02
KX384959.1	10515	USA: Fort Jackson, SC	2002-11-28
JX173079.1	129951	Argentina	2001-12-31
MG872324.1	10529	Tunisia	2011-12-31
KX083792.1	45659	China	2015-08-31
JN163980.1	1076310	NA	NA
KF268119.1	129875	USA: Colorado	2004-12-31
KC693022.1	1962300	USA	1997-02-28
KF279624.1	10522	United Kingdom	1983-12-31
KF053130.1	1458443	China	2002-06-22
KY704446.1	45659	Thailand	2015-12-31
KY704411.1	10519	Thailand	2015-12-31
KP732094.1	129951	China	2008-06-19
MK357715.1	1907210	China	2016-05-04
MK165453.1	129951	China	2004-12-24
MK165452.1	129951	China	2000-07-04
MH121099.1	129951	Germany	NA
MH121095.1	129951	Germany	NA
MH121079.1	129951	Germany	NA
MH121078.1	129951	Germany	NA
MF315029.1	129951	China	2013-03-15
KR699642.1	129951	China	2009-01-19
KP274042.1	130310	Cote d'Ivoire	2011-12-31
KM458627.1	10515	China	2012-12-31
KP696777.1	129951	China	2009-01-21
KY969108.1	45659	Thailand	2016-10-31
MN513344.1	10533	Singapore	2016-10-11
MH121092.1	129951	Germany	NA
KP732095.1	129951	China	2009-03-02
KC513572.1	10535	Indonesia	2010-12-31
KY704461.1	45659	Thailand	2015-12-31
KP662348.1	714978	China	2012-12-31
JN163985.1	1076305	NA	NA
Y17248.1	46922	NA	NA
KY969116.1	10519	Thailand	2016-09-30
KY969110.1	45659	Thailand	2016-10-31
LC129036.1	45659	Japan:Hokkaido, Sapporo	2015-12-16
DQ115435.1	10522	NA	NA
JX117836.1	565303	Mexico	NA
KX513974.1	714978	South Korea	2014-04-08
KX513973.1	714978	South Korea	2014-04-06
KX513972.1	714978	South Korea	2014-03-31
KX513971.1	714978	South Korea	2014-03-31
KX513970.1	714978	South Korea	2014-03-26
KX513969.1	714978	South Korea	2014-03-23
KX513968.1	714978	South Korea	2014-03-23
KX513967.1	714978	South Korea	2014-03-20
KX513966.1	714978	South Korea	2014-03-16
KX513965.1	714978	South Korea	2014-03-13
KX513963.1	714978	South Korea	2014-03-03
KX513961.1	714978	South Korea	2014-03-01
KX513959.1	714978	South Korea	2014-02-21
KX513957.1	714978	South Korea	2014-02-13
KX513956.1	714978	South Korea	2014-02-12
KX513955.1	714978	South Korea	2013-06-24
KX513954.1	714978	South Korea	2013-06-20
KX227469.1	714978	South Korea	2013-06-17
KX227468.1	714978	South Korea	2013-05-07
KX227467.1	714978	South Korea	2013-04-30
KX227466.1	714978	South Korea	2013-04-19
KX227465.1	714978	South Korea	2013-04-18
KX227464.1	714978	South Korea	2013-04-11
KX227463.1	714978	South Korea	2013-01-26
KX227462.1	714978	South Korea	2012-12-12
KC510734.1	107462	China	2010-12-31
KY704462.1	45659	Thailand	2015-12-31
KX494963.1	714978	South Korea	2016-04-28
KY969101.1	45659	Thailand	2016-07-31
KY969111.1	45659	Thailand	2016-10-31
KX494940.1	714978	South Korea	2016-02-28
AB099388.1	52275	NA	NA
AB099377.1	39641	NA	NA
JQ412619.1	45659	China	2008-12-31
AB161033.1	52275	Japan:Hokkaido, Sapporo	NA
JQ412620.1	45659	China	2008-12-31
JQ412616.1	45659	China	2008-12-31
JQ412605.1	45659	China	2009-12-31
JQ412604.1	45659	China	2009-12-31
JQ412603.1	45659	China	2009-12-31
MK674657.1	10541	Thailand	2016-05-28
AB161032.1	52275	Japan:Hokkaido, Sapporo	NA
JQ412618.1	45659	China	2008-12-31
JN163973.1	1076319	NA	NA
AB099368.1	52275	NA	NA
AB099365.1	46933	NA	NA
AB099364.1	46932	NA	NA
AB099361.1	46929	NA	NA
AB099353.1	46922	NA	NA
AB099349.1	10527	NA	NA
KR025802.1	1712394	China	2014-03-31
JQ412624.1	45659	China	2009-12-31
JQ412611.1	45659	China	2010-12-31
MK674656.1	10541	Thailand	2013-12-28
AB099373.1	46939	NA	NA
AB099358.1	46926	NA	NA
HQ326157.1	10521	South Korea	NA
Y17252.1	52275	NA	NA
KC747649.1	714978	South Korea	2009-12-31
Y17251.1	46930	NA	NA
AB099374.1	46940	NA	NA
AB099355.1	46923	NA	NA
KR025800.1	1712394	China	2014-02-28
JN163998.1	1076325	NA	NA
JQ412625.1	45659	China	2009-12-31
JQ412623.1	45659	China	2009-12-31
JQ412615.1	45659	China	2010-12-31
JQ412609.1	45659	China	2010-12-31
AB099378.1	218120	NA	NA
AB099375.1	46941	NA	NA
AB099352.1	28276	NA	NA
AB099351.1	46921	NA	NA
KY969119.1	10519	Thailand	2016-09-30
MF176133.1	1916699	Tanzania	2012-12-31
KX691687.1	32608	China	2010-12-31
AB099370.1	46935	NA	NA
AB099369.1	46943	NA	NA
AB099366.1	46934	NA	NA
AB099362.1	46930	NA	NA
AB099359.1	46927	NA	NA
KY969118.1	10519	Thailand	2016-11-30
KY969120.1	10519	Thailand	2016-06-30
JN572915.1	28276	Paraguay	2010-07-13
AB099379.1	245072	NA	NA
AB099376.1	46942	NA	NA
AB099372.1	46938	NA	NA
AB099363.1	46931	NA	NA
AB099357.1	46925	NA	NA
AB099356.1	46924	NA	NA
AB099354.1	28278	NA	NA
AB099350.1	28275	NA	NA
EF653225.2	10521	USA: California	2005-12-31
AB099371.1	46937	NA	NA
AB099367.1	46936	NA	NA
AB099360.1	46928	NA	NA
KY704448.1	45659	Thailand	2014-12-31
GQ336974.1	10541	Australia	1991-01-06
EF653226.2	10521	USA: California	2005-12-31
KY704447.1	45659	Thailand	2015-12-31
KM378014.1	315431	China	2014-07-09
KX494965.1	714978	South Korea	2016-05-02
KX083880.1	46943	China	2014-06-30
AB099384.1	28278	NA	NA
KR025790.1	1712394	China	2013-12-31
KY704456.1	45659	Thailand	2015-12-31
KY969123.1	46921	Thailand	2016-01-31
Y17250.1	28278	NA	NA
KX494969.1	714978	South Korea	2016-05-02
KX494942.1	714978	South Korea	2016-03-07
AJ749860.1	10521	NA	NA
KX494937.1	714978	South Korea	2016-03-02
KC747645.1	10541	South Korea	2009-12-31
MF472624.1	32608	USA	2015-12-31
AF321311.1	10519	Israel	NA
Y17247.1	10527	NA	NA
KX494941.1	714978	South Korea	2016-03-10
KX494943.1	714978	South Korea	2016-03-07
AJ272608.1	31544	NA	NA
KX083888.1	1145295	China	2015-07-31
KX083885.1	1145295	China	2015-06-30
AJ494847.1	10522	Germany:Nordrhein-Westfalen	NA
AB661338.1	880565	Japan: Fukuoka	2011-02-28
KX083890.1	1145295	China	2015-09-30
KX083887.1	1145295	China	2015-07-31
KX083886.1	1145295	China	2015-06-30
KX083884.1	1145295	China	2014-09-30
KX083883.1	1145295	China	2014-08-31
KX083882.1	1145295	China	2014-08-31
KX083881.1	1145295	China	2014-06-30
HQ913600.1	994672	USA	2009-05-18
AJ272605.1	10519	NA	NA
AJ272604.1	45659	NA	NA
KY969126.1	46922	Thailand	2016-05-31
AJ272613.1	107678	NA	NA
KY704434.1	45659	Thailand	2015-12-31
KC632696.1	880565	Thailand	2011-04-26
AJ272609.1	32608	NA	NA
KY704458.1	45659	Thailand	2015-12-31
KX083878.1	52275	China	2015-09-30
KX083877.1	52275	China	2015-09-30
KX083876.1	52275	China	2015-09-30
KX083874.1	52275	China	2015-09-30
KX083873.1	52275	China	2015-09-30
KX083872.1	52275	China	2015-09-30
KX083871.1	52275	China	2015-09-30
KX083870.1	52275	China	2015-09-30
KX083869.1	52275	China	2015-09-30
KX083868.1	52275	China	2015-09-30
KX083867.1	52275	China	2015-09-30
KX083866.1	52275	China	2015-09-30
KX083865.1	52275	China	2015-09-30
KX083863.1	52275	China	2015-09-30
KX083855.1	52275	China	2015-07-31
KX083853.1	52275	China	2015-07-31
KX083850.1	52275	China	2015-06-30
KX083848.1	52275	China	2015-06-30
KX083845.1	52275	China	2014-08-31
KX083844.1	52275	China	2014-07-31
KX083843.1	52275	China	2014-06-30
KX083842.1	52275	China	2014-06-30
KC632624.1	46922	Thailand	2009-03-18
AJ272616.1	107681	NA	NA
AY819923.1	108098	NA	NA
AY819906.1	108098	NA	NA
KX494967.1	714978	South Korea	2016-05-02
U75954.1	10519	NA	NA
MK736447.1	32608	China	2018-06-30
KY704464.1	45659	Thailand	2015-12-31
U75956.1	10519	NA	NA
AY380333.1	32608	NA	NA
U75951.1	10519	NA	NA
X76552.1	45659	NA	NA
DQ115420.1	32608	NA	NA
KY969125.1	46922	Thailand	2016-11-30
KY704454.1	45659	Thailand	2015-12-31
U75952.1	10519	NA	NA
U77390.1	10519	NA	NA
KX083879.1	52275	China	2015-09-30
KX083875.1	52275	China	2015-09-30
KX083862.1	52275	China	2015-09-30
KX083858.1	52275	China	2015-08-31
KX083852.1	52275	China	2015-07-31
KX083851.1	52275	China	2015-06-30
KX083849.1	52275	China	2015-06-30
KX083847.1	52275	China	2015-06-30
AY819905.1	108098	NA	NA
LC198621.1	1930638	Japan:Fukuoka, Tatara river	2014-12-02
KX083864.1	52275	China	2015-09-30
KX083861.1	52275	China	2015-08-31
KX083860.1	52275	China	2015-08-31
KX083856.1	52275	China	2015-08-31
KX083846.1	52275	China	2014-08-31
AY819910.1	108098	NA	NA
AY819909.1	108098	NA	NA
AY819907.1	108098	NA	NA
AB437264.1	108098	NA	NA
KC632705.1	10533	Thailand	2012-03-13
AY819926.1	108098	NA	NA
AY819913.1	108098	NA	NA
KX083889.1	1145295	China	2015-08-31
KC632606.1	10533	Thailand	2012-05-01
KX083859.1	52275	China	2015-08-31
KX083841.1	46933	China	2015-09-30
KX083840.1	46933	China	2015-07-31
KR025793.1	1712394	China	2014-01-31
KC632723.1	10533	Thailand	2012-08-26
AY819924.1	108098	NA	NA
GU569846.1	32608	Hong Kong	2008-08-31
KC632718.1	10533	Thailand	2011-12-25
MH371129.1	32608	USA	2016-03-31
KM103671.1	108098	India	2014-02-02
Y17244.1	10533	NA	NA
MH371128.1	32608	USA	2016-03-31
X98359.1	28278	NA	NA
MH371132.1	32608	USA	2016-03-31
JN572911.1	10533	Paraguay	2010-05-18
KY704436.1	45659	Thailand	2015-12-31
KY704359.1	10533	Thailand	2015-12-31
KP268125.1	108098	Bangladesh: Dhaka	2006-09-18
KF954034.1	10533	China	2013-04-22
EF503570.1	108098	USA: Georgia, Fort Benning	2006-03-31
EF503569.1	108098	USA: California, San Diego	2006-03-31
MK411402.1	108098	India	2012-12-31
KY969124.1	880565	Thailand	2016-03-31
KM877537.1	315431	China	2008-02-11
KC632662.1	10533	Thailand	2010-01-26
JN657521.1	10533	Paraguay	2010-08-18
AB601012.1	10533	Japan: Fukuoka, Tatara River	2010-09-30
EF503568.1	108098	USA: Illinois, Great Lakes	2006-03-31
KY704457.1	45659	Thailand	2015-12-31
KY704432.1	45659	Thailand	2015-12-31
MH371133.1	32608	USA	2016-03-31
MH371131.1	32608	USA	2016-03-31
MH371130.1	32608	USA	2016-03-31
KM877525.1	315431	China	2007-09-15
KC632680.1	10533	Thailand	2011-07-16
KC632657.1	10533	Thailand	2009-09-03
KY704465.1	45659	Thailand	2015-12-31
KY704363.1	10533	Thailand	2015-12-31
KM377992.1	315431	China	2014-07-09
KY704435.1	45659	Thailand	2015-12-31
KC632666.1	10533	Thailand	2010-08-15
KC632664.1	10533	Thailand	2010-02-03
AB375857.1	45659	Japan	NA
KC632663.1	10533	Thailand	2010-01-28
KC632633.1	10533	Thailand	2009-01-10
KM378026.1	315431	China	2014-07-09
KC632659.1	10533	Thailand	2010-01-05
KC632620.1	10533	Thailand	2009-01-23
KC632595.1	10533	Thailand	2011-06-26
KM377990.1	315431	China	2014-07-09
KM377989.1	315431	China	2014-07-09
Y17245.1	10534	NA	NA
KF954032.1	10533	China	2011-06-20
KF954030.1	10533	China	2013-01-28
DQ115412.1	10521	NA	NA
KY969082.1	10533	Thailand	2016-08-31
KY969081.1	10533	Thailand	2016-10-31
KR025755.1	1712394	China	2013-06-30
KC632710.1	10533	Thailand	2009-10-06
KC632704.1	10533	Thailand	2012-03-07
KM877532.1	315431	China	2007-12-20
KC632734.1	10533	Thailand	2009-08-23
EU867473.1	45659	Germany	2005-11-30
DQ115434.1	10548	NA	NA
KY969084.1	10533	Thailand	2016-10-31
KY969080.1	10533	Thailand	2016-10-31
KY969079.1	10533	Thailand	2016-05-31
KC632713.1	10533	Thailand	2010-01-13
KC632646.1	10533	Thailand	2010-10-12
KC632602.1	10533	Thailand	2011-12-13
KC632686.1	10533	Thailand	2010-07-28
KM877544.1	315431	China	2008-03-29
KC632728.1	10533	Thailand	2010-06-16
KC632583.1	10533	Thailand	2011-02-21
KY969083.1	10533	Thailand	2016-10-31
KC632690.1	10533	Thailand	2011-01-12
KC632688.1	10533	Thailand	2010-11-23
KC632642.1	10533	Thailand	2010-07-20
KC632621.1	10533	Thailand	2009-01-28
KC632581.1	10533	Thailand	2011-02-05
KC632692.1	10533	Thailand	2011-02-14
KC632655.1	10533	Thailand	2009-07-30
KC632653.1	10533	Thailand	2011-01-10
KC632652.1	10533	Thailand	2011-01-09
KC632586.1	10533	Thailand	2011-03-02
KC632616.1	10534	Thailand	2012-07-05
KC632609.1	10534	Thailand	2012-05-09
JN572914.1	10534	Paraguay	2010-07-01
JN657518.1	10534	Paraguay	2010-06-27
KY511691.1	1907210	China	NA
KY511679.1	1907210	China	NA
KY511678.1	1907210	China	NA
KY704453.1	45659	Thailand	2015-12-31
KX452140.1	10519	Cameroon	2012-02-13
KC632712.1	10533	Thailand	2010-01-05
KC632727.1	10533	Thailand	2010-06-09
MK411409.1	108098	India	2012-12-31
KY704433.1	45659	Thailand	2015-12-31
KY969086.1	10533	Thailand	2016-05-31
KC632588.1	10533	Thailand	2011-03-07
KY704425.1	45659	Thailand	2015-12-31
KR025752.1	1712394	China	2013-05-31
KY704413.1	45659	Thailand	2015-12-31
KY704366.1	10533	Thailand	2015-12-31
KX083810.1	10533	China	2015-08-31
KP662349.1	10519	China	2012-12-31
KP662340.1	10519	China	2012-12-31
KY704429.1	45659	Thailand	2015-12-31
KY704424.1	45659	Thailand	2015-12-31
KY704422.1	45659	Thailand	2015-12-31
KT266797.1	10519	USA	2014-11-30
HM057191.1	326124	USA	NA
AY628149.1	10519	USA	NA
AY337257.1	10519	NA	NA
AY337256.1	10519	NA	NA
AY337255.1	10519	NA	NA
AY337254.1	10519	NA	NA
AY337253.1	10519	NA	NA
JQ815086.1	10521	Canada	2010-12-31
FJ744159.1	45659	Ireland	NA
AJ250787.1	10522	NA	NA
AJ250786.1	10548	NA	NA
AJ250783.1	10521	NA	NA
KU872860.1	1916696	Czech Republic	2011-12-31
KM378011.1	315431	China	2014-07-09
KM377998.1	315431	China	2014-07-09
KF802429.1	1521028	Germany	2008-07-31
AJ250782.1	10541	NA	NA
KX784088.1	108098	China	2014-06-05
JF713014.1	10541	China	2007-03-31
JF713013.1	10541	China	2007-03-31
KF954041.1	10515	China	2012-11-12
KY624842.1	1916699	Uganda	2012-12-31
KY624841.1	1916699	Uganda	2012-12-31
KY969075.1	10515	Thailand	2016-02-29
KM378038.1	315431	China	2014-07-09
KM377988.1	315431	China	2014-07-09
KC632607.1	10534	Thailand	2012-05-04
JF713020.1	10541	China	2010-04-30
JF713012.1	10541	China	2007-04-30
KY704355.1	10533	Thailand	2015-12-31
KF954040.1	10534	China	2013-04-22
